utc_time,temperature,humidity,precipitation,wind_speed,weather_main
2025-09-01,22.15,77,0,1.17,Clear
2025-09-01 06:00:07,26.83,58,0,1.36,Clear
2025-09-01 12:00:02,29.2,70,0,4.32,Clear
2025-09-01 18:00:03,24.07,92,0,0.65,Clear
2025-09-02 00:00:01,23.73,85,0,1.69,Clouds
2025-09-02 06:00:07,26.76,71,0,2.47,Clouds
2025-09-02 12:00:02,27.26,76,0,2.66,Clouds
2025-09-02 18:00:00,24.52,86,0.24,0.27,Rain
2025-09-03 00:00:08,23.32,86,0,1.82,Clouds
2025-09-03 06:00:07,24.04,85,0.12,1.07,Rain
2025-09-03 12:00:04,26.95,66,0.32,5.94,Rain
2025-09-03 18:00:02,23,83,0,0.53,Clouds
2025-09-04 00:00:08,20.86,88,0,1.85,Clouds
2025-09-04 06:00:03,24.7,70,0,1.26,Clouds
2025-09-04 12:00:01,26.08,68,0,2.77,Clouds
2025-09-04 18:00:04,22.7,87,0.56,0.67,Rain
2025-09-05 00:00:09,20.75,88,0,2.12,Clouds
2025-09-05 06:00:05,24.94,68,0,1.27,Clouds
2025-09-05 12:00:01,27.34,68,0,3.59,Clouds
2025-09-05 18:00:10,22.87,88,0,1.62,Clear
2025-09-06 00:00:07,21.1,80,0,1.81,Clear
2025-09-06 06:00:03,25.91,63,0,1.74,Clear
2025-09-06 12:00:00,27.93,66,0,4.15,Clear
2025-09-06 18:00:09,23.55,86,0,1.09,Clear
2025-09-07 00:00:07,21.24,81,0,2.41,Clouds
2025-09-07 06:00:05,24.54,70,0,0.79,Clouds
2025-09-07 12:00:03,24.32,76,0.4,2.7,Rain
2025-09-07 18:00:06,21.08,85,0.34,2.42,Rain
2025-09-08 00:00:01,19.29,83,0,2.43,Clouds
2025-09-08 06:00:07,22.9,69,0,1.52,Clear
2025-09-08 12:00:03,25.2,63,0,2.7,Clouds
2025-09-08 18:00:00,20.24,88,0.7,1.8,Rain
2025-09-09 00:00:07,19.71,87,0.93,2.35,Rain
2025-09-09 06:00:03,20.93,87,2.21,1.96,Rain
2025-09-09 12:00:00,21.4,86,2.25,2.49,Rain
2025-09-09 18:00:04,19.32,91,1.11,1.87,Rain
2025-09-10 00:00:07,18.56,90,1.23,2.22,Rain
2025-09-10 06:00:06,21.76,80,0.18,3.01,Rain
2025-09-10 12:00:08,23.61,74,0.63,2.84,Rain
2025-09-10 18:00:03,19.07,88,0.16,2.81,Rain
2025-09-11 00:00:09,17.56,85,0,2.57,Clouds
